,pl_b0_raw_log_c1_SN_cov_orig,pl_b0_raw_log_c1_SN_cov_aligned,pl_b0_raw_log_c1_SN_cov_ind,pl_b0_raw_alpha1_SN_cov_orig,pl_b0_raw_alpha1_SN_cov_aligned,pl_b0_raw_alpha1_SN_cov_ind,fit_cvpca_w_log_c1_SN_cov_orig,fit_cvpca_w_log_c1_SN_cov_aligned,fit_cvpca_w_log_c1_SN_cov_ind,fit_cvpca_w_alpha1_SN_cov_orig,fit_cvpca_w_alpha1_SN_cov_aligned,fit_cvpca_w_alpha1_SN_cov_ind,commit_id,nm
10,-2.326152222399449,-2.3302069262259373,-2.3425671063276683,0.9888952202144563,0.9888891368886913,0.9861781995924953,-3.2433168700326704,-2.595808664537639,-3.530029861921724,0.780268288736907,0.8934494000451142,0.7272452780717599,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
11,-2.33307407980955,-2.3330213916555858,-2.3450396083768337,0.9868578899246069,0.9878560609548732,0.9858302437202809,-3.3092775710298823,-2.582676645030796,-3.795395787717359,0.7664782126734089,0.8949924605091629,0.6741773598746871,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
12,-2.3308903040850857,-2.3215010212639595,-2.3492946366684757,0.9876338276715393,0.9904958755131247,0.9849652682801358,-3.3115902669434627,-2.5971065200116104,-3.7597216144708643,0.7669081586034362,0.8932584336375043,0.6818601810324167,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
13,-2.3276449789095395,-2.309671441414966,-2.3415585306101416,0.9880373301072263,0.9924768462166186,0.9863878321004528,-3.2680373536615823,-2.590846123376642,-3.7400770905986187,0.7747410397151113,0.8940954508025105,0.6866502814500093,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
14,-2.3250568206108753,-2.3392764209253554,-2.3463069252476414,0.988265775470123,0.9866551408449452,0.9856277742783831,-3.3132065959988815,-2.609387955343922,-3.519530899213739,0.7653989216524879,0.8899254472642137,0.7297229496891927,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
15,-2.3346628201955415,-2.3274732409583847,-2.3356232701527837,0.986789021823698,0.9891775653151424,0.9876737137299394,-3.3446948992462144,-2.6011989246624183,-3.668210998306036,0.7587687595294941,0.8923590936643357,0.7012392999905492,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
16,-2.32287713656765,-2.3419008685606673,-2.33910288639637,0.9896331220803044,0.9857410564487146,0.9866116774942219,-3.3069389219525185,-2.6042028008258367,-3.7360890552001145,0.7668481567615599,0.8907299181955824,0.6887786546227628,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
17,-2.3161439585657586,-2.3328917255732846,-2.3407234312547525,0.9904242132934147,0.9874722703655797,0.9863999227766629,-3.309552915376969,-2.605399977084288,-3.4666071567288115,0.7679766345602631,0.8902453763288029,0.7400304151067316,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
18,-2.3302169354563533,-2.3247808806900685,-2.351403450957482,0.9873818205067736,0.9894533814109767,0.9844509195897768,-3.31998425929478,-2.619880885809184,-3.698058390656668,0.7638320360743006,0.8875588282912739,0.6944027939071785,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
19,-2.3275306569290586,-2.335048275606362,-2.3483749592294947,0.9878082648352919,0.9889720696323103,0.9848931757023951,-3.3274689230632934,-2.585731698966008,-3.567444627923531,0.7624748002289313,0.8960920043468358,0.7207356598242861,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
